Y Ybinary Ylog X
3 0 1.09861228866811 -0.320366677224124
3 0 1.09861228866811 0.342115873144235
4 0 1.38629436111989 -0.510921648552445
7 1 1.94591014905531 0.858028772404075
2 0 0.693147180559945 -0.454584643918818
7 1 1.94591014905531 2.46728726937265
7 1 1.94591014905531 1.41670747601721
5 1 1.6094379124341 1.41017422949523
5 1 1.6094379124341 0.884185357826345
1 0 0 1.78217608051942
2 0 0.693147180559945 -0.435736453948977
2 0 0.693147180559945 -0.261644730360566
5 1 1.6094379124341 1.93228223854166
3 0 1.09861228866811 -0.350696353310367
5 1 1.6094379124341 0.292619256398035
4 0 1.38629436111989 0.00719207055801613
5 1 1.6094379124341 0.180007131451493
10 1 2.30258509299405 0.720886697023441
3 0 1.09861228866811 0.794188331267827
5 1 1.6094379124341 0.322669517730394
7 1 1.94591014905531 0.194042537885743
2 0 0.693147180559945 1.54303882517041
5 1 1.6094379124341 0.285420591453131
2 0 0.693147180559945 0.0204434699566129
3 0 1.09861228866811 0.199809258786438
3 0 1.09861228866811 1.01266630705141
3 0 1.09861228866811 0.226435595873674
6 1 1.79175946922805 0.562365828532952
3 0 1.09861228866811 -0.381660478755657
4 0 1.38629436111989 0.075729727753681
4 0 1.38629436111989 0.460160440434515
4 0 1.38629436111989 -0.188894486259664
2 0 0.693147180559945 0.731496192632572
6 1 1.79175946922805 -0.918394081786787
5 1 1.6094379124341 0.806557860789766
6 1 1.79175946922805 -0.936449823537586
2 0 0.693147180559945 -0.100976126836611
5 1 1.6094379124341 -0.0282799044450062
3 0 1.09861228866811 -0.352094780680999
6 1 1.79175946922805 0.543103222152608
5 1 1.6094379124341 -1.41435942568001
5 1 1.6094379124341 1.67658331201856
4 0 1.38629436111989 -1.264972436212
4 0 1.38629436111989 -0.0635304014723856
6 1 1.79175946922805 -0.515920105042845
1 0 0 -0.650819001193448
4 0 1.38629436111989 2.48716654562835
5 1 1.6094379124341 0.517395619693252
5 1 1.6094379124341 -0.786300530434326
4 0 1.38629436111989 -1.24060553441858
6 1 1.79175946922805 1.05018710127266
4 0 1.38629436111989 0.381440167285362
3 0 1.09861228866811 -0.0180683745438444
1 0 0 -0.829362147453702
2 0 0.693147180559945 -1.28746031014148
3 0 1.09861228866811 -0.775192296615681
4 0 1.38629436111989 1.40002880371391
5 1 1.6094379124341 -0.121266694796823
3 0 1.09861228866811 -1.08442684738449
7 1 1.94591014905531 2.56929062242358
3 0 1.09861228866811 0.725100377372448
4 0 1.38629436111989 0.161352899086967
3 0 1.09861228866811 1.35848304870902
5 1 1.6094379124341 1.38642265137494
3 0 1.09861228866811 -0.319243048231147
4 0 1.38629436111989 2.60610246454047
5 1 1.6094379124341 0.244972969858985
1 0 0 -1.32449465021281
6 1 1.79175946922805 0.455600398045781
3 0 1.09861228866811 0.507538339232345
6 1 1.79175946922805 2.90797839905936
3 0 1.09861228866811 0.405802367893711
3 0 1.09861228866811 0.756998805423414
4 0 1.38629436111989 0.322847064643469
7 1 1.94591014905531 0.365999157633456
6 1 1.79175946922805 0.565273971688724
3 0 1.09861228866811 1.08763960563016
5 1 1.6094379124341 2.57524500865228
8 1 2.07944154167984 1.82739243876377
4 0 1.38629436111989 1.6079083983867
5 1 1.6094379124341 -0.731323421558044
3 0 1.09861228866811 1.28389557005338
3 0 1.09861228866811 0.519924803660651
5 1 1.6094379124341 -0.967250029092243
2 0 0.693147180559945 0.721022742648139
5 1 1.6094379124341 0.341245395283984
2 0 0.693147180559945 1.6645873119698
3 0 1.09861228866811 -0.466081999604665
2 0 0.693147180559945 -0.230211753928547
3 0 1.09861228866811 -0.626109497377437
1 0 0 -0.0771039614365402
5 1 1.6094379124341 0.902011779486338
6 1 1.79175946922805 -0.131748173119606
5 1 1.6094379124341 1.33037316798167
6 1 1.79175946922805 -0.608082786304465
4 0 1.38629436111989 -0.647984412807742
3 0 1.09861228866811 1.74115770684428
6 1 1.79175946922805 -0.415847465304649
4 0 1.38629436111989 0.811974712317515
5 1 1.6094379124341 0.11892394889108
