c1	c2	c3	c4	c5	c6	c7	c8	k1	k2	k3	k4	k5	k6	k7	k8
1	7.66989978116931	6.72156348690518	7.07707847693824	5.81832326940343	8.25797444839509	6.75342450482676	7.39597018077837	6.39130883344104	8.10620579816239	7.397413241567	9.31857738679319	7.10621207621932	8.0684565726048	7.77282032648016	8.43181651793698	7.55587791469018
2	8.10081362690917	8.17567185404759	8.31625413799202	8.08495679472311	9.13477332732121	8.05590825067765	9.0674177087506	7.81686590651409	9.49424284931259	8.97413886093931	10.0026680424199	8.07348961125857	9.71195912348905	9.58245255255997	9.91538629499113	8.86024837187398
3	7.65395829095452	6.93156384258148	6.91052940750278	6.53488877781775	10.077608031886	7.56090343508641	7.52589323433186	7.78349122423515	7.81437180760492	7.36064751547501	7.51442453159274	8.40667901864009	6.72111888578581	9.34429062197106	8.81821620144444	9.00961343374131
4	7.74105514527012	7.9072025206763	7.57478934296807	7.83388787115948	8.75279569333954	7.88326342106774	7.8464707636337	7.8401746362879	8.40802209057281	8.30425567519135	7.84722544224587	7.64328896108929	7.48805462349244	8.3062659521323	7.81733017967964	8.05108429754802
5	6.74149999532783	7.85534814724187	7.86683231073822	7.58352499933424	7.39443088822531	8.01577299277203	7.61007354716354	7.93169515425831	7.90174628857021	8.42112163154362	7.66550890447109	7.66293165452564	8.13781715748889	7.90977992618918	8.56298048740152	7.4135474216896
6	7.54549350211955	8.24778269554392	7.50134320997544	7.48959570497161	7.89557824814805	8.16446228218229	7.48085845033136	7.9527331843631	7.46411915005943	8.13507592975773	7.54010830724193	7.41113284530374	8.11587441608777	8.09095095188124	8.21902873330765	7.18353569297591
7	8.29271708680755	8.58798037234758	8.38773430080578	8.7663674219524	8.32493204310361	8.22208988961516	8.42295725048847	8.42235358759011	8.04530247439079	8.22919273766568	8.37344743479029	8.06663932800031	8.500993738826	8.34367048626769	8.01243109113237	8.19379175556615
8	7.03219916940652	7.92229402566412	7.96126338891902	8.25356044792167	8.16142232813297	7.6822799754883	7.82599359396982	8.03429447170966	7.95412340336927	7.58871069033956	7.5931349627708	8.30976639549005	7.3942562161179	8.48183149333948	7.95415412566141	7.74630298494923
9	7.88541617801565	7.99351148549373	7.81746365820941	8.01610593674036	7.53174659789137	7.57612806599336	7.54921150280323	7.5803074390554	7.46301546424063	7.47779362050344	6.80927178308328	8.14462221364347	7.58331862957602	8.08036541715743	7.94654629906016	7.39782612393478
10	8.09314578413932	8.07167581633566	8.10696355590826	8.15896569000714	8.02467570972858	7.73185926156945	8.8218961162357	8.44748746342983	7.96015579281285	8.23605421673588	7.62152275231777	8.78484028676201	8.46231556924404	8.282924219756	7.78147487911644	7.85659905502476
11	8.23029489558012	8.22525319339497	8.17983524884067	8.75585463682393	7.87944883966905	7.793000432169	8.56529971204639	8.29965252685288	7.98472725091646	7.99936025044793	8.69848974700988	8.29372665549162	8.29334337592425	7.88869976854	8.15731599050434	7.96492082763371
12	7.85807934146569	7.92988619481811	8.10273644158229	8.43520653437756	7.89228902198376	8.00330375389432	8.28545118547183	7.88856519594902	8.08985756935044	8.65448190749319	8.30497436036468	8.52202735293348	8.20997662374806	7.77663591574368	7.71417008406822	7.95427050459371
13	7.51658033099918	8.24975334444981	8.28896315702394	8.55406761569603	7.23850033821304	8.43066548774466	8.02682310773268	7.42220156862363	7.24263453471056	8.98313961446784	9.1155302882165	7.79029631061032	8.10534203702171	8.25218821893392	7.21610183401268	7.64737299209693
14	8.11916811285597	7.92448028775768	8.00924264809233	7.84552740094572	7.92264851123065	7.96394381410644	10.0074659877224	7.64406719721312	8.53831471596263	8.30049191903173	9.02582476296043	7.63866901073135	7.77062238880965	7.98273598548324	8.41992169099958	7.98156476515126
15	7.86259785646812	8.56721088904268	8.32739394399023	6.53104970314078	7.69644538677152	8.59410954745344	7.62998606406533	7.75507511579159	8.84769908561464	7.99328230203996	7.69762221746469	8.04492731361331	7.13676725559163	8.54864864161753	8.2093917524527	8.30508157592025
